"""estado,revenue"""
"""AC, 267"""
"""AL,0"""
"""AP,0"""
"""AM, 1177"""
"""BA, 285561.5595149994"""
"""CE, 20240.63991546631"""
"""DF, 97749.479763031"""
"""ES, 47689.60999965668"""
"""GO, 66399.21003055573"""
"""MA, 36408.949378967285"""
"""MT, 17070.719919204712"""
"""MS, 8551.689849853516"""
"""MG, 1011564.7407425642"""
"""PA, 1238"""
"""PB, 17095.000009536743"""
"""PR, 1261887.2084050179"""
"""PE, 91493.84798622131"""
"""PI, 2522"""
"""RJ, 843984.2190513611"""
"""RN, 9992.600105285645"""
"""RS, 378559.5394999981"""
"""RO, 4762.1999797821045"""
"""RR,0"""
"""SC, 632426.0712366104"""
"""SP, 8753396.216342926"""
"""SE, 1606.1999893188477"""
"""TO,0"""
